epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,48.6316,0.67504,0.51828,1,0.73956,0.0701765,0.00331373,0.00331373
2,92.2575,0.58227,0.55269,1,0.99036,0.0401107,0.00658125,0.00658125
3,132.218,0.55632,0.53333,1,1.12309,0.00997886,0.00978278,0.00978278
4,172.038,0.5753,0.49032,1,0.92476,0.009703,0.009703,0.009703
5,212.446,0.5679,0.52043,1,0.74683,0.009604,0.009604,0.009604
6,252.408,0.5641,0.59785,1,0.75366,0.009505,0.009505,0.009505
7,292.122,0.50385,0.62151,1,0.80977,0.009406,0.009406,0.009406
8,331.821,0.44894,0.50753,1,1.02124,0.009307,0.009307,0.009307
9,374.419,0.3994,0.5871,1,1.1334,0.009208,0.009208,0.009208
10,414.925,0.37919,0.47527,1,1.28345,0.009109,0.009109,0.009109
11,453.942,0.33656,0.6129,1,0.90042,0.00901,0.00901,0.00901
12,495.273,0.29299,0.6,1,1.07552,0.008911,0.008911,0.008911
13,532.74,0.29951,0.56129,1,1.5378,0.008812,0.008812,0.008812
14,573.177,0.23531,0.54194,1,1.53118,0.008713,0.008713,0.008713
15,611.471,0.23288,0.57849,1,1.32332,0.008614,0.008614,0.008614
16,654.02,0.21624,0.53978,1,1.45231,0.008515,0.008515,0.008515
17,693.393,0.22773,0.65591,1,1.12236,0.008416,0.008416,0.008416
18,733.038,0.20211,0.54839,1,1.48242,0.008317,0.008317,0.008317
19,772.636,0.20817,0.56774,1,1.64905,0.008218,0.008218,0.008218
20,813.362,0.17996,0.5871,1,1.04962,0.008119,0.008119,0.008119
21,852.233,0.16455,0.68172,1,1.27441,0.00802,0.00802,0.00802
22,892.047,0.14656,0.64516,1,1.49605,0.007921,0.007921,0.007921
23,935.568,0.14964,0.59355,1,1.52601,0.007822,0.007822,0.007822
24,975.577,0.14944,0.56774,1,1.49561,0.007723,0.007723,0.007723
25,1015.51,0.13341,0.67742,1,1.01237,0.007624,0.007624,0.007624
26,1055.62,0.12865,0.61505,1,1.58773,0.007525,0.007525,0.007525
27,1095.41,0.10332,0.5828,1,1.52466,0.007426,0.007426,0.007426
28,1134.93,0.12575,0.62581,1,1.31873,0.007327,0.007327,0.007327
29,1174.77,0.11593,0.64516,1,1.21151,0.007228,0.007228,0.007228
30,1217.65,0.10014,0.69892,1,1.2085,0.007129,0.007129,0.007129
31,1257,0.10031,0.5957,1,1.79447,0.00703,0.00703,0.00703
32,1296.64,0.08773,0.63656,1,1.665,0.006931,0.006931,0.006931
33,1335.95,0.09093,0.63656,1,1.7415,0.006832,0.006832,0.006832
34,1375.47,0.09771,0.6086,1,1.44283,0.006733,0.006733,0.006733
35,1414.91,0.08255,0.64086,1,1.44617,0.006634,0.006634,0.006634
36,1454.56,0.08396,0.65806,1,1.74471,0.006535,0.006535,0.006535
37,1497.59,0.08175,0.62796,1,1.79596,0.006436,0.006436,0.006436
38,1537.44,0.09091,0.63871,1,1.65259,0.006337,0.006337,0.006337
39,1576.59,0.07895,0.5957,1,1.46238,0.006238,0.006238,0.006238
40,1616.2,0.06625,0.63656,1,1.54008,0.006139,0.006139,0.006139
41,1655.97,0.06168,0.57634,1,1.70679,0.00604,0.00604,0.00604
42,1697.25,0.07585,0.5828,1,1.49117,0.005941,0.005941,0.005941
43,1735.76,0.07698,0.54194,1,2.05534,0.005842,0.005842,0.005842
44,1778.49,0.06214,0.56774,1,1.89754,0.005743,0.005743,0.005743
45,1818.78,0.06028,0.6129,1,1.75682,0.005644,0.005644,0.005644
